Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,EducationField,EmployeeCount,EmployeeNumber,Gender,HourlyRate,JobRole,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,StandardHours,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,AttritionFlag,AgeGroup,TenureGroup,DistanceGroup,CareerStage,RoleStabilityGroup,PromotionDelayGroup,IncomeGroup,EducationLevel,StockOption,JobLevelGroup,SatisfactionLevel,PerformanceRatingLevel,EnvironmentSatisfactionLevel,JobInvolvementLevel,RelationshipSatisfactionLevel,WorkLifeBalanceLevel
41,Yes,Travel_Rarely,1102,Sales,1,Life Sciences,1,1,Female,94,Sales Executive,Single,5993,19479,8,Y,Yes,11,80,8,0,6,4,0,5,1,36-45,6-10,0-5,Mid career,4-7,Promoted this year,Medium,Low,No Options,Junior Level,High,Medium-High,Medium-Low,Medium-High,Low,Low
49,No,Travel_Frequently,279,Research & Development,8,Life Sciences,1,2,Male,61,Research Scientist,Married,5130,24907,1,Y,No,23,80,10,3,10,7,1,7,0,46-55,6-10,6-10,Mid career,4-7,1-2 years,Medium,Very Low,Low,Junior Level,Medium-Low,High,Medium-High,Medium-Low,High,Medium-High
37,Yes,Travel_Rarely,1373,Research & Development,2,Other,1,4,Male,92,Laboratory Technician,Single,2090,2396,6,Y,Yes,15,80,7,3,0,0,0,0,1,36-45,0-1,0-5,Mid career,0-1,Promoted this year,Low,Low,No Options,Entry Level,Medium-High,Medium-High,High,Medium-Low,Medium-Low,Medium-High
33,No,Travel_Frequently,1392,Research & Development,3,Life Sciences,1,5,Female,56,Research Scientist,Married,2909,23159,1,Y,Yes,11,80,8,3,8,7,3,0,0,26-35,6-10,0-5,Mid career,4-7,3-5 years,Low,High,No Options,Entry Level,Medium-High,Medium-High,High,Medium-High,Medium-High,Medium-High
27,No,Travel_Rarely,591,Research & Development,2,Medical,1,7,Male,40,Laboratory Technician,Married,3468,16632,9,Y,No,12,80,6,3,2,2,2,2,0,26-35,2-3,0-5,Mid career,2-3,1-2 years,Medium,Very Low,Low,Entry Level,Medium-Low,Medium-High,Low,Medium-High,High,Medium-High
32,No,Travel_Frequently,1005,Research & Development,2,Life Sciences,1,8,Male,79,Laboratory Technician,Single,3068,11864,0,Y,No,13,80,8,2,7,7,3,6,0,26-35,6-10,0-5,Mid career,4-7,3-5 years,Medium,Low,No Options,Entry Level,High,Medium-High,High,Medium-High,Medium-High,Medium-Low
59,No,Travel_Rarely,1324,Research & Development,3,Medical,1,10,Female,81,Laboratory Technician,Married,2670,9964,4,Y,Yes,20,80,12,3,1,0,0,0,0,56-65,0-1,0-5,Experienced,0-1,Promoted this year,Low,Medium,High,Entry Level,Low,High,Medium-High,High,Low,Medium-Low
30,No,Travel_Rarely,1358,Research & Development,24,Life Sciences,1,11,Male,67,Laboratory Technician,Divorced,2693,13335,1,Y,No,22,80,1,2,1,0,0,0,0,26-35,0-1,21-30,Entry-level,0-1,Promoted this year,Low,Very Low,Low,Entry Level,Medium-High,High,High,Medium-High,Medium-Low,Medium-High
38,No,Travel_Frequently,216,Research & Development,23,Life Sciences,1,12,Male,44,Manufacturing Director,Single,9526,8787,0,Y,No,21,80,10,2,9,7,1,8,0,36-45,6-10,21-30,Mid career,4-7,1-2 years,High,Medium,No Options,Mid Level,Medium-High,High,High,Medium-Low,Medium-Low,Medium-High
36,No,Travel_Rarely,1299,Research & Development,27,Medical,1,13,Male,94,Healthcare Representative,Married,5237,16577,6,Y,No,13,80,17,3,7,7,7,7,0,36-45,6-10,21-30,Experienced,4-7,5+ years,Medium,Medium,Medium,Junior Level,Medium-High,Medium-High,Medium-High,Medium-High,Medium-Low,Medium-Low
35,No,Travel_Rarely,809,Research & Development,16,Medical,1,14,Male,84,Laboratory Technician,Married,2426,16479,0,Y,No,13,80,6,5,5,4,0,3,0,26-35,4-5,11-20,Mid career,4-7,Promoted this year,Low,Medium,Low,Entry Level,Medium-Low,Medium-High,Low,High,Medium-High,Medium-High
29,No,Travel_Rarely,153,Research & Development,15,Life Sciences,1,15,Female,49,Laboratory Technician,Single,4193,12682,0,Y,Yes,12,80,10,3,9,5,0,8,0,26-35,6-10,11-20,Mid career,4-7,Promoted this year,Medium,Low,No Options,Junior Level,Medium-High,Medium-High,High,Medium-Low,High,Medium-High
31,No,Travel_Rarely,670,Research & Development,26,Life Sciences,1,16,Male,31,Research Scientist,Divorced,2911,15170,1,Y,No,17,80,5,1,5,2,4,3,0,26-35,4-5,21-30,Early career,2-3,3-5 years,Low,Very Low,Low,Entry Level,Medium-High,Medium-High,Low,Medium-High,High,Medium-Low
34,No,Travel_Rarely,1346,Research & Development,19,Medical,1,18,Male,93,Laboratory Technician,Divorced,2661,8758,0,Y,No,11,80,3,2,2,2,1,2,0,26-35,2-3,11-20,Early career,2-3,1-2 years,Low,Low,Low,Entry Level,High,Medium-High,Medium-Low,Medium-High,Medium-High,Medium-High
