Variable_Set,Model,Threshold,Accuracy,Precision,Recall,F1-score,AUC,N_Numeric_Variables,N_Categorical_Variables,N_Features_After_Dummies
Modelo 8 — Integrado Multidimensional,Logistic Regression Balanced,0.5,0.809,0.446,0.74,0.556,0.823,7,11,43
Modelo 2 — Nível Hierárquico e Benefícios,Logistic Regression Balanced,0.5,0.764,0.384,0.76,0.51,0.808,3,8,25
Modelo 6 — Perfil Pessoal e Condições de Trabalho,Logistic Regression Balanced,0.5,0.751,0.361,0.7,0.476,0.786,3,8,24
Modelo 4 — Trajetória Organizacional,Logistic Regression Balanced,0.5,0.741,0.347,0.68,0.459,0.782,0,8,22
Modelo 6 — Perfil Pessoal,Logistic Regression Balanced,0.5,0.741,0.347,0.68,0.459,0.774,0,9,24
Modelo 1 — Função Profissional Misto,Logistic Regression Balanced,0.5,0.751,0.348,0.62,0.446,0.779,3,7,26
Modelo 1 — Função Profissional,Logistic Regression Balanced,0.5,0.741,0.34,0.64,0.444,0.77,0,8,26
Modelo 4 — Experiência Profissional,Logistic Regression Balanced,0.5,0.722,0.327,0.68,0.442,0.771,4,6,19
Modelo 8 — Integrado Multidimensional,Logistic Regression,0.5,0.861,0.63,0.34,0.442,0.834,7,11,43
Modelo 2 — Nível Hierárquico,Logistic Regression Balanced,0.5,0.709,0.318,0.7,0.438,0.768,0,8,22
Modelo 5 — Estabilidade e Benefícios,Logistic Regression Balanced,0.5,0.735,0.333,0.64,0.438,0.781,0,9,24
Modelo 5 — Antiguidade Organizacional,Logistic Regression Balanced,0.5,0.706,0.315,0.7,0.435,0.758,5,6,20
Modelo 3 — Faixa Salarial,Logistic Regression Balanced,0.5,0.722,0.324,0.66,0.434,0.759,0,8,21
Modelo 3 — Rendimento Quantitativo,Logistic Regression Balanced,0.5,0.722,0.324,0.66,0.434,0.748,4,6,19
Modelo 7 — Reduzido Conservador Misto,Logistic Regression Balanced,0.5,0.702,0.312,0.7,0.432,0.747,3,6,18
Modelo 7 — Reduzido Conservador,Logistic Regression Balanced,0.5,0.689,0.287,0.62,0.392,0.733,0,7,18
Modelo 5 — Estabilidade e Benefícios,Logistic Regression,0.5,0.858,0.636,0.28,0.389,0.789,0,9,24
Modelo 6 — Perfil Pessoal,Logistic Regression,0.5,0.861,0.733,0.22,0.338,0.781,0,9,24
Modelo 1 — Função Profissional Misto,Logistic Regression,0.5,0.858,0.688,0.22,0.333,0.782,3,7,26
Modelo 1 — Função Profissional,Logistic Regression,0.5,0.858,0.714,0.2,0.312,0.772,0,8,26
Modelo 4 — Trajetória Organizacional,Logistic Regression,0.5,0.854,0.667,0.2,0.308,0.789,0,8,22
Modelo 2 — Nível Hierárquico e Benefícios,Logistic Regression,0.5,0.848,0.588,0.2,0.299,0.808,3,8,25
Modelo 6 — Perfil Pessoal e Condições de Trabalho,Logistic Regression,0.5,0.848,0.588,0.2,0.299,0.793,3,8,24
Modelo 3 — Faixa Salarial,Logistic Regression,0.5,0.841,0.526,0.2,0.29,0.769,0,8,21
Modelo 3 — Rendimento Quantitativo,Logistic Regression,0.5,0.838,0.5,0.2,0.286,0.747,4,6,19
Modelo 7 — Reduzido Conservador Misto,Logistic Regression,0.5,0.851,0.667,0.16,0.258,0.75,3,6,18
Modelo 7 — Reduzido Conservador,Logistic Regression,0.5,0.848,0.615,0.16,0.254,0.735,0,7,18
Modelo 4 — Experiência Profissional,Logistic Regression,0.5,0.825,0.409,0.18,0.25,0.772,4,6,19
Modelo 2 — Nível Hierárquico,Logistic Regression,0.5,0.845,0.571,0.16,0.25,0.773,0,8,22
Modelo 5 — Antiguidade Organizacional,Logistic Regression,0.5,0.822,0.333,0.1,0.154,0.757,5,6,20
