Variable_Set,Model,Threshold,Accuracy,Precision,Recall,F1-score,AUC
Modelo 1 — Função Profissional,Logistic Regression,0.25,0.816,0.442,0.535,0.484,0.781
Modelo 1 — Função Profissional,Logistic Regression Balanced,0.575,0.794,0.404,0.592,0.48,0.782
Modelo 1 — Função Profissional Misto,Logistic Regression,0.25,0.814,0.438,0.549,0.487,0.785
Modelo 1 — Função Profissional Misto,Logistic Regression Balanced,0.55,0.782,0.393,0.648,0.489,0.782
Modelo 2 — Nível Hierárquico,Logistic Regression,0.2,0.81,0.441,0.69,0.538,0.819
Modelo 2 — Nível Hierárquico,Logistic Regression Balanced,0.575,0.819,0.456,0.662,0.54,0.818
Modelo 2 — Nível Hierárquico e Benefícios,Logistic Regression,0.275,0.85,0.529,0.634,0.577,0.833
Modelo 2 — Nível Hierárquico e Benefícios,Logistic Regression Balanced,0.6,0.821,0.461,0.662,0.543,0.832
Modelo 3 — Faixa Salarial,Logistic Regression,0.25,0.825,0.467,0.592,0.522,0.796
Modelo 3 — Faixa Salarial,Logistic Regression Balanced,0.625,0.841,0.506,0.592,0.545,0.795
Modelo 3 — Rendimento Quantitativo,Logistic Regression,0.2,0.791,0.413,0.704,0.521,0.798
Modelo 3 — Rendimento Quantitativo,Logistic Regression Balanced,0.525,0.787,0.412,0.761,0.535,0.797
Modelo 4 — Experiência Profissional,Logistic Regression,0.2,0.798,0.418,0.648,0.508,0.799
Modelo 4 — Experiência Profissional,Logistic Regression Balanced,0.6,0.816,0.447,0.592,0.509,0.796
Modelo 4 — Trajetória Organizacional,Logistic Regression,0.2,0.771,0.368,0.592,0.454,0.779
Modelo 4 — Trajetória Organizacional,Logistic Regression Balanced,0.625,0.814,0.435,0.521,0.474,0.774
Modelo 5 — Antiguidade Organizacional,Logistic Regression,0.225,0.814,0.446,0.634,0.523,0.784
Modelo 5 — Antiguidade Organizacional,Logistic Regression Balanced,0.575,0.803,0.426,0.648,0.514,0.782
Modelo 5 — Estabilidade e Benefícios,Logistic Regression,0.275,0.834,0.487,0.521,0.503,0.796
Modelo 5 — Estabilidade e Benefícios,Logistic Regression Balanced,0.65,0.848,0.529,0.521,0.525,0.796
Modelo 6 — Perfil Pessoal,Logistic Regression,0.25,0.828,0.471,0.577,0.519,0.809
Modelo 6 — Perfil Pessoal,Logistic Regression Balanced,0.625,0.83,0.476,0.563,0.516,0.806
Modelo 6 — Perfil Pessoal e Condições de Trabalho,Logistic Regression,0.225,0.823,0.463,0.62,0.53,0.811
Modelo 6 — Perfil Pessoal e Condições de Trabalho,Logistic Regression Balanced,0.575,0.819,0.455,0.634,0.529,0.806
Modelo 7 — Reduzido Conservador,Logistic Regression,0.225,0.803,0.411,0.521,0.46,0.784
Modelo 7 — Reduzido Conservador,Logistic Regression Balanced,0.6,0.812,0.43,0.521,0.471,0.781
Modelo 7 — Reduzido Conservador Misto,Logistic Regression,0.2,0.785,0.391,0.606,0.475,0.785
Modelo 7 — Reduzido Conservador Misto,Logistic Regression Balanced,0.575,0.791,0.398,0.577,0.471,0.781
Modelo 8 — Integrado Multidimensional,Logistic Regression,0.375,0.868,0.594,0.577,0.586,0.816
Modelo 8 — Integrado Multidimensional,Logistic Regression Balanced,0.625,0.844,0.511,0.648,0.571,0.813
