Feature,Coefficient,Odds_Ratio
BusinessTravel_Travel_Frequently,1.5203913236931352,4.574014765319137
OverTime_Yes,1.4487920224241317,4.257967877568377
JobInvolvementLevel_Low,1.406987349615288,4.083634291368731
BusinessTravel_Travel_Rarely,0.8378818931062824,2.3114658563000865
EnvironmentSatisfactionLevel_Low,0.785344311132104,2.193161940819021
StockOption_No Options,0.5506600916834081,1.734397501460226
SatisfactionLevel_Low,0.41402099938893905,1.512888896293179
SatisfactionLevel_Medium,0.30455289205493413,1.356018580767108
DistanceFromHome,0.2811140246466335,1.324604632899777
JobInvolvementLevel_Medium,0.061746763904431845,1.063692945170309
TrainingTimesLastYear,-0.09347344334088012,0.9107622039064301
EnvironmentSatisfactionLevel_Medium,-0.13603766320335786,0.8728097590582157
DailyRate,-0.166728274264494,0.8464295767913149
EnvironmentSatisfactionLevel_Very High,-0.21901338093010414,0.8033109690337815
JobInvolvementLevel_Very High,-0.2841391585360034,0.7526618980903286
StockOption_Medium,-0.51002483758148,0.6004806641396218
SatisfactionLevel_Very High,-0.5221602082160935,0.5932376459644477
WorkLifeBalanceLevel_Best,-0.5638475914639621,0.5690155073912728
WorkLifeBalanceLevel_Good,-0.6316095160817295,0.5317352754189388
JobLevelGroup_Mid Level,-0.742963092400148,0.47570227534692505
StockOption_Low,-0.8226274853949384,0.43927594573516116
JobLevelGroup_Junior Level,-1.2826093823864229,0.27731274055665883
WorkLifeBalanceLevel_Better,-1.3203927086928426,0.26703041620672585
JobLevelGroup_Executive Level,-1.8388753242738978,0.15899614469233422
JobLevelGroup_Senior Level,-2.148164824592574,0.11669812290692251
